FRAUDS	8545.0	10267.0	6452.0	6917.0	6132.0	4900.0	4682.0	4384.0	4795.0	5155.0	5422.0	5180.0
AGGRAVATED HARASSMENT	42018.0	42623.0	38079.0	35032.0	35931.0	34531.0	33877.0	33224.0	31170.0	30852.0	30037.0	27819.0
AGGRAVATED HARASSMENT	42018.0	42623.0	38079.0	35032.0	35931.0	34531.0	33877.0	33224.0	31170.0	30852.0	30037.0	27819.0
AGGRAVATED HARASSMENT	42018.0	42623.0	38079.0	35032.0	35931.0	34531.0	33877.0	33224.0	31170.0	30852.0	30037.0	27819.0
AGGRAVATED HARASSMENT	42018.0	42623.0	38079.0	35032.0	35931.0	34531.0	33877.0	33224.0	31170.0	30852.0	30037.0	27819.0
OTHER MISDEMEANORS	34457.0	29641.0	24248.0	24762.0	26570.0	24429.0	22429.0	24603.0	25944.0	30381.0	34133.0	33767.0
OTHER MISDEMEANORS	34457.0	29641.0	24248.0	24762.0	26570.0	24429.0	22429.0	24603.0	25944.0	30381.0	34133.0	33767.0
OTHER MISDEMEANORS	34457.0	29641.0	24248.0	24762.0	26570.0	24429.0	22429.0	24603.0	25944.0	30381.0	34133.0	33767.0
OTHER MISDEMEANORS	34457.0	29641.0	24248.0	24762.0	26570.0	24429.0	22429.0	24603.0	25944.0	30381.0	34133.0	33767.0
FELONY POSSESSION OF STOLEN PROPERTY	2194.0	2114.0	1976.0	1545.0	1358.0	1250.0	1175.0	1073.0	1016.0	823.0	864.0	823.0
FELONY POSSESSION OF STOLEN PROPERTY	2194.0	2114.0	1976.0	1545.0	1358.0	1250.0	1175.0	1073.0	1016.0	823.0	864.0	823.0
FELONY POSSESSION OF STOLEN PROPERTY	2194.0	2114.0	1976.0	1545.0	1358.0	1250.0	1175.0	1073.0	1016.0	823.0	864.0	823.0
FELONY POSSESSION OF STOLEN PROPERTY	2194.0	2114.0	1976.0	1545.0	1358.0	1250.0	1175.0	1073.0	1016.0	823.0	864.0	823.0
FORGERY/THEFT_FRAUD/IDENTITY THEFT	5714.0	5594.0	5859.0	8112.0	12984.0	12896.0	12579.0	12075.0	12216.0	10225.0	10055.0	9876.0
FORGERY/THEFT_FRAUD/IDENTITY THEFT	5714.0	5594.0	5859.0	8112.0	12984.0	12896.0	12579.0	12075.0	12216.0	10225.0	10055.0	9876.0
FORGERY/THEFT_FRAUD/IDENTITY THEFT	5714.0	5594.0	5859.0	8112.0	12984.0	12896.0	12579.0	12075.0	12216.0	10225.0	10055.0	9876.0
FORGERY/THEFT_FRAUD/IDENTITY THEFT	5714.0	5594.0	5859.0	8112.0	12984.0	12896.0	12579.0	12075.0	12216.0	10225.0	10055.0	9876.0
ARSON	3189.0	2681.0	1902.0	1492.0	1789.0	1831.0	1679.0	1527.0	1896.0	1474.0	1467.0	1264.0
ARSON	3189.0	2681.0	1902.0	1492.0	1789.0	1831.0	1679.0	1527.0	1896.0	1474.0	1467.0	1264.0
ARSON	3189.0	2681.0	1902.0	1492.0	1789.0	1831.0	1679.0	1527.0	1896.0	1474.0	1467.0	1264.0
ARSON	3189.0	2681.0	1902.0	1492.0	1789.0	1831.0	1679.0	1527.0	1896.0	1474.0	1467.0	1264.0
FELONY SEX CRIMES	1839.0	1831.0	1513.0	1295.0	1263.0	1162.0	1096.0	1031.0	909.0	914.0	1053.0	1028.0
FELONY SEX CRIMES	1839.0	1831.0	1513.0	1295.0	1263.0	1162.0	1096.0	1031.0	909.0	914.0	1053.0	1028.0
FELONY SEX CRIMES	1839.0	1831.0	1513.0	1295.0	1263.0	1162.0	1096.0	1031.0	909.0	914.0	1053.0	1028.0
FELONY SEX CRIMES	1839.0	1831.0	1513.0	1295.0	1263.0	1162.0	1096.0	1031.0	909.0	914.0	1053.0	1028.0
FELONY DANGEROUS DRUGS	38088.0	30743.0	29692.0	24076.0	25824.0	27391.0	29516.0	31459.0	28936.0	26025.0	22913.0	21305.0
